run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,6,37.179743588859424,0.825,0.3090040683746338,1 2 5 7 12 3 4 9 14 16,100,200,0.8,0.05,3,2,1001
2,6,37.687309977409285,0.825,0.3078770637512207,1 2 5 7 12 3 4 9 14 16,100,200,0.8,0.05,3,2,1002
3,6,37.179743588859424,0.825,0.30828022956848145,1 2 5 7 12 3 4 9 14 8,100,200,0.8,0.05,3,2,1003
4,6,38.88015775002291,0.825,0.3019249439239502,2 4 6 8 1 5 10 3 9 7,100,200,0.8,0.05,3,2,1004
5,6,23.459184413217212,0.825,0.2935211658477783,2 4 6 11 1 5 10 7 8 13,100,200,0.8,0.05,3,2,1005
6,6,23.202011407059807,0.825,0.29920196533203125,2 4 6 8 1 3 5 7 11 10,100,200,0.8,0.05,3,2,1006
7,6,24.138489320308896,0.825,0.2976861000061035,2 4 6 1 8 5 3 11 9 13,100,200,0.8,0.05,3,2,1007
8,6,23.72059583287626,0.825,0.3026769161224365,2 4 6 1 3 8 13 11 5 10,100,200,0.8,0.05,3,2,1008
9,6,41.47690120215508,0.825,0.3054819107055664,1 2 5 7 12 3 9 4 14 6,100,200,0.8,0.05,3,2,1009
10,6,32.161053050752756,0.825,0.3002192974090576,1 2 4 8 6 5 3 9 11 13,100,200,0.8,0.05,3,2,1010
