run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,10,61.01884954667697,0.8547,0.31361913681030273,2 6 1 3 4 5 11 13 10 15,100,200,0.8,0.05,3,2,1001
2,10,60.022495782831285,0.8547,0.3304610252380371,2 6 1 3 4 5 10 15 11 13,100,200,0.8,0.05,3,2,1002
3,10,61.01884954667697,0.8547,0.311384916305542,2 6 1 3 4 5 10 15 11 13,100,200,0.8,0.05,3,2,1003
4,10,62.7670295617054,0.8547,0.31323814392089844,2 6 1 3 4 5 7 10 14 12,100,200,0.8,0.05,3,2,1004
5,10,60.022495782831285,0.8547,0.3163292407989502,2 6 1 3 4 5 10 15 12 14,100,200,0.8,0.05,3,2,1005
6,10,62.7670295617054,0.8547,0.31580018997192383,2 6 1 3 4 5 7 10 14 12,100,200,0.8,0.05,3,2,1006
7,10,60.022495782831285,0.8547,0.3159658908843994,2 6 1 3 4 5 10 15 11 13,100,200,0.8,0.05,3,2,1007
8,10,60.022495782831285,0.8547,0.32981204986572266,2 6 1 3 4 5 10 15 12 14,100,200,0.8,0.05,3,2,1008
9,10,60.022495782831285,0.8547,0.31264805793762207,2 6 1 3 4 5 10 15 11 13,100,200,0.8,0.05,3,2,1009
10,10,62.848229887563264,0.8547,0.31270503997802734,2 6 1 3 4 5 7 10 12 14,100,200,0.8,0.05,3,2,1010
