run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,3,6.454972243679028,0.93,0.2773571014404297,3 5 2 1 4 7 6 8 12 9,100,200,0.8,0.05,3,2,1001
2,3,3.696845502136472,0.93,0.27979493141174316,2 1 4 6 9 3 5 10 7 11,100,200,0.8,0.05,3,2,1002
3,3,6.454972243679028,0.93,0.2846682071685791,3 4 5 2 7 1 6 8 12 9,100,200,0.8,0.05,3,2,1003
4,3,3.696845502136472,0.93,0.2821478843688965,4 2 1 6 9 3 11 13 7 17,100,200,0.8,0.05,3,2,1004
5,3,6.454972243679028,0.93,0.2848391532897949,4 3 2 5 7 1 6 8 9 12,100,200,0.8,0.05,3,2,1005
6,3,6.454972243679028,0.93,0.2773749828338623,3 5 2 1 4 7 6 8 12 10,100,200,0.8,0.05,3,2,1006
7,3,7.593857166596345,0.93,0.2806868553161621,1 4 6 2 3 9 8 7 12 15,100,200,0.8,0.05,3,2,1007
8,3,6.454972243679028,0.93,0.2795722484588623,1 4 3 2 5 7 6 8 9 12,100,200,0.8,0.05,3,2,1008
9,3,6.454972243679028,0.93,0.27831411361694336,2 3 1 5 4 7 6 8 12 9,100,200,0.8,0.05,3,2,1009
10,3,6.454972243679028,0.93,0.27794623374938965,1 3 2 4 5 7 6 10 8 9,100,200,0.8,0.05,3,2,1010
