run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,3,7.852812659593164,0.9376666666666666,0.2822401523590088,2 6 7 8 3 4 1 5 10 9,100,200,0.8,0.05,3,2,1001
2,3,7.852812659593164,0.9376666666666666,0.287661075592041,2 7 6 8 3 1 4 11 14 5,100,200,0.8,0.05,3,2,1002
3,3,10.214368964029708,0.9376666666666666,0.284682035446167,1 5 2 6 8 3 4 7 10 13,100,200,0.8,0.05,3,2,1003
4,3,7.852812659593164,0.9376666666666666,0.2814350128173828,2 6 8 3 7 1 5 10 4 13,100,200,0.8,0.05,3,2,1004
5,3,7.852812659593164,0.9376666666666666,0.2852301597595215,2 7 6 8 3 4 1 5 10 13,100,200,0.8,0.05,3,2,1005
6,3,7.852812659593164,0.9376666666666666,0.28302788734436035,2 7 6 8 3 4 1 5 10 13,100,200,0.8,0.05,3,2,1006
7,3,10.214368964029708,0.9376666666666666,0.2845020294189453,2 3 1 4 5 6 8 7 10 13,100,200,0.8,0.05,3,2,1007
8,3,7.852812659593164,0.9376666666666666,0.2874491214752197,2 7 6 3 8 1 5 10 9 4,100,200,0.8,0.05,3,2,1008
9,3,7.852812659593164,0.9376666666666666,0.28760790824890137,3 2 6 8 7 11 1 4 14 5,100,200,0.8,0.05,3,2,1009
10,3,6.027713773341708,0.9376666666666666,0.28147292137145996,3 4 1 5 2 7 9 6 10 11,100,200,0.8,0.05,3,2,1010
