run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,12,197.5700297784729,0.8495833333333334,0.35046887397766113,1 5 3 7 4 8 2 6 9 12,100,200,0.8,0.05,3,2,1001
2,12,195.1262411875963,0.8495833333333334,0.346926212310791,1 2 4 5 6 3 8 7 10 13,100,200,0.8,0.05,3,2,1002
3,13,246.10770000144245,0.7842307692307692,0.33481812477111816,1 2 4 5 8 6 3 7 10 9,100,200,0.8,0.05,3,2,1003
4,12,197.59744431545667,0.8495833333333334,0.35222506523132324,1 5 3 7 4 8 2 6 9 14,100,200,0.8,0.05,3,2,1004
5,12,204.62995056116947,0.8495833333333334,0.3562629222869873,1 5 4 8 3 2 7 10 11 12,100,200,0.8,0.05,3,2,1005
6,12,197.59744431545667,0.8495833333333334,0.3513641357421875,1 5 4 2 8 3 7 6 9 14,100,200,0.8,0.05,3,2,1006
7,12,195.1262411875963,0.8495833333333334,0.33595895767211914,1 2 6 5 4 8 3 7 10 13,100,200,0.8,0.05,3,2,1007
8,12,195.58480684006787,0.8495833333333334,0.37081289291381836,1 2 6 5 4 8 3 7 10 13,100,200,0.8,0.05,3,2,1008
9,12,195.1262411875963,0.8495833333333334,0.35714006423950195,1 2 4 5 6 3 8 7 10 13,100,200,0.8,0.05,3,2,1009
10,12,195.96109307717182,0.8495833333333334,0.3453788757324219,1 2 4 3 5 6 8 7 10 9,100,200,0.8,0.05,3,2,1010
