run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,5,27.3970801363941,0.9354,0.3162720203399658,2 4 1 3 8 11 5 6 7 9,100,200,0.8,0.05,3,2,1001
2,5,27.3970801363941,0.9354,0.2962958812713623,4 2 3 1 8 11 5 6 7 9,100,200,0.8,0.05,3,2,1002
3,5,27.3970801363941,0.9354,0.29813575744628906,4 2 3 1 8 11 5 6 7 9,100,200,0.8,0.05,3,2,1003
4,5,27.3970801363941,0.9354,0.29611706733703613,4 2 3 1 8 5 6 7 11 9,100,200,0.8,0.05,3,2,1004
5,5,27.3970801363941,0.9354,0.2918708324432373,4 2 1 3 8 11 5 6 7 9,100,200,0.8,0.05,3,2,1005
6,5,27.3970801363941,0.9354,0.3118290901184082,2 4 1 3 8 11 5 6 7 9,100,200,0.8,0.05,3,2,1006
7,5,27.3970801363941,0.9354,0.29668211936950684,4 1 3 2 8 11 5 6 7 9,100,200,0.8,0.05,3,2,1007
8,5,27.440845468024488,0.9354,0.29202795028686523,4 2 3 1 8 11 10 16 18 5,100,200,0.8,0.05,3,2,1008
9,5,27.3970801363941,0.9354,0.2962181568145752,2 3 4 1 6 8 7 5 11 9,100,200,0.8,0.05,3,2,1009
10,5,27.3970801363941,0.9354,0.3080461025238037,3 4 2 1 8 11 5 6 7 9,100,200,0.8,0.05,3,2,1010
