run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,5,47.469990520327684,0.8462,0.2779562473297119,3 7 1 4 2 5 6 9 13 8,100,200,0.8,0.05,3,2,1001
2,5,18.09419796509367,0.8462,0.28215479850769043,2 6 3 1 8 4 7 5 9 14,100,200,0.8,0.05,3,2,1002
3,5,18.09419796509367,0.8462,0.2843461036682129,2 6 3 4 8 7 1 5 9 14,100,200,0.8,0.05,3,2,1003
4,5,24.795160818191924,0.8462,0.2816131114959717,1 3 7 4 2 6 8 5 9 13,100,200,0.8,0.05,3,2,1004
5,5,13.281566172707194,0.8462,0.29433202743530273,3 1 4 7 2 8 6 5 9 14,100,200,0.8,0.05,3,2,1005
6,5,24.40491753725056,0.8462,0.2869710922241211,3 1 7 4 2 8 6 5 9 14,100,200,0.8,0.05,3,2,1006
7,5,29.889797590482274,0.8462,0.28836917877197266,3 7 1 4 2 5 6 8 9 13,100,200,0.8,0.05,3,2,1007
8,5,29.075763102625526,0.8462,0.2787158489227295,3 7 1 4 2 5 6 9 12 8,100,200,0.8,0.05,3,2,1008
9,5,16.69730517179344,0.8462,0.2764430046081543,3 4 1 7 2 6 8 5 9 12,100,200,0.8,0.05,3,2,1009
10,5,36.97025831665232,0.8462,0.2781798839569092,3 7 1 4 2 5 6 9 8 13,100,200,0.8,0.05,3,2,1010
