run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,15,42.561328300073846,0.9254,1.9440600872039795,5 12 17 6 13 21 7 15 19 20,100,200,0.8,0.05,3,2,1001
2,15,40.052465592020674,0.9254,1.9685330390930176,4 2 1 6 5 13 23 38 7 3,100,200,0.8,0.05,3,2,1002
3,15,41.04063027456247,0.9254,1.9927847385406494,5 1 2 3 7 8 9 10 16 24,100,200,0.8,0.05,3,2,1003
4,15,40.52653451752321,0.9254,1.9929838180541992,1 2 3 7 8 9 10 16 24 46,100,200,0.8,0.05,3,2,1004
5,15,45.736928915993765,0.9254,1.9594721794128418,7 8 9 10 1 2 3 16 24 46,100,200,0.8,0.05,3,2,1005
6,15,40.974788996812826,0.9254,2.0048022270202637,7 1 2 3 8 9 10 16 24 46,100,200,0.8,0.05,3,2,1006
7,15,40.54955815624464,0.9254,2.049422025680542,7 15 19 36 43 4 11 18 34 42,100,200,0.8,0.05,3,2,1007
8,15,45.89335463877096,0.9254,1.9635279178619385,1 2 3 7 8 9 10 16 24 46,100,200,0.8,0.05,3,2,1008
9,15,42.13074886588179,0.9254,1.9558207988739014,1 2 3 7 4 5 6 11 18 34,100,200,0.8,0.05,3,2,1009
10,15,52.800883830986514,0.9254,2.0334978103637695,7 15 19 36 43 4 11 18 34 42,100,200,0.8,0.05,3,2,1010
