run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,16,45.59605246071199,0.92075,2.065415143966675,4 6 15 3 5 7 14 17 9 11,100,200,0.8,0.05,3,2,1001
2,16,48.82366229606296,0.92075,2.009143114089966,6 15 4 14 7 17 3 5 11 13,100,200,0.8,0.05,3,2,1002
3,16,42.40135611038873,0.92075,1.9461822509765625,6 15 24 4 14 23 3 5 10 11,100,200,0.8,0.05,3,2,1003
4,16,42.40283009422838,0.92075,1.955514907836914,6 15 24 4 14 23 33 40 36 42,100,200,0.8,0.05,3,2,1004
5,16,39.62007067131506,0.92075,2.0280182361602783,7 17 4 14 6 15 3 5 11 24,100,200,0.8,0.05,3,2,1005
6,16,49.75565294516795,0.92075,1.995865821838379,4 14 23 6 15 24 3 5 11 33,100,200,0.8,0.05,3,2,1006
7,16,39.63268852853664,0.92075,1.9496428966522217,4 14 6 15 13 19 34 41 7 17,100,200,0.8,0.05,3,2,1007
8,15,23.477648945326703,0.9821333333333333,1.9510881900787354,6 3 5 4 10 11 21 14 23 36,100,200,0.8,0.05,3,2,1008
9,16,36.99493208535461,0.92075,1.9686260223388672,4 14 23 6 15 24 33 3 5 40,100,200,0.8,0.05,3,2,1009
10,16,36.75085033029848,0.92075,1.9891159534454346,6 15 24 33 4 14 23 3 5 11,100,200,0.8,0.05,3,2,1010
