run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,15,48.47404803947503,0.9198666666666667,2.0718252658843994,7 8 6 9 10 11 1 2 14 29,100,200,0.8,0.05,3,2,1001
2,15,47.51420840127719,0.9198666666666667,2.0888187885284424,6 14 17 15 7 8 9 10 11 18,100,200,0.8,0.05,3,2,1002
3,15,37.978941533434025,0.9198666666666667,2.0838170051574707,6 1 2 7 3 4 12 17 15 20,100,200,0.8,0.05,3,2,1003
4,15,43.98257230616084,0.9198666666666667,2.0836682319641113,6 14 29 38 45 17 20 15 21 22,100,200,0.8,0.05,3,2,1004
5,15,49.63332214013754,0.9198666666666667,2.1260108947753906,7 8 6 9 10 11 14 15 17 5,100,200,0.8,0.05,3,2,1005
6,15,27.597101297056543,0.9198666666666667,2.090949058532715,7 18 12 8 5 13 6 9 14 17,100,200,0.8,0.05,3,2,1006
7,15,52.568051133744724,0.9198666666666667,2.0489139556884766,7 18 1 2 8 6 9 10 11 14,100,200,0.8,0.05,3,2,1007
8,15,47.57170027092438,0.9198666666666667,2.0415737628936768,6 14 29 38 47 49 57 64 74 54,100,200,0.8,0.05,3,2,1008
9,15,36.3318042491699,0.9198666666666667,2.0377869606018066,6 14 17 15 7 8 9 10 11 18,100,200,0.8,0.05,3,2,1009
10,15,45.24599429783812,0.9198666666666667,2.1137731075286865,3 4 7 12 6 17 20 15 21 22,100,200,0.8,0.05,3,2,1010
