run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,26,103.48374082620234,0.8859615384615385,2.136043071746826,4 10 14 21 30 38 3 11 20 26,100,200,0.8,0.05,3,2,1001
2,26,108.40859318763931,0.8859615384615385,2.160142660140991,4 10 14 21 30 38 3 11 20 26,100,200,0.8,0.05,3,2,1002
3,26,102.73771684020656,0.8859615384615385,2.1620900630950928,3 11 20 4 10 14 21 2 9 19,100,200,0.8,0.05,3,2,1003
4,25,93.18905515134276,0.9214,2.1516201496124268,2 8 1 7 9 4 14 3 11 10,100,200,0.8,0.05,3,2,1004
5,26,105.61158881632116,0.8859615384615385,2.1511669158935547,4 10 14 21 3 11 20 30 38 45,100,200,0.8,0.05,3,2,1005
6,26,107.90326864657708,0.8859615384615385,2.15698504447937,3 11 20 4 10 14 21 15 2 8,100,200,0.8,0.05,3,2,1006
7,25,91.5495494254341,0.9214,2.1330008506774902,4 10 14 21 30 38 28 35 39 3,100,200,0.8,0.05,3,2,1007
8,25,79.14139245679216,0.9214,2.1526050567626953,4 10 14 21 30 3 11 20 26 28,100,200,0.8,0.05,3,2,1008
9,26,127.81672576237972,0.8859615384615385,2.1558027267456055,3 11 20 26 34 42 4 10 14 21,100,200,0.8,0.05,3,2,1009
10,25,99.29571994804206,0.9214,2.1343657970428467,4 10 14 21 2 8 17 30 38 45,100,200,0.8,0.05,3,2,1010
