run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,65,275.3212948259095,0.7693230769230769,2.485543966293335,9 1 13 4 8 6 17 29 30 7,100,200,0.8,0.05,3,2,1001
2,65,272.49183474005235,0.7693230769230769,2.437567949295044,9 17 29 1 2 3 4 5 6 10,100,200,0.8,0.05,3,2,1002
3,66,277.0802859253701,0.7576666666666667,2.5097739696502686,9 17 29 30 7 12 25 31 1 2,100,200,0.8,0.05,3,2,1003
4,66,286.6762507206914,0.7576666666666667,2.413689136505127,1 2 3 4 5 6 10 19 33 9,100,200,0.8,0.05,3,2,1004
5,65,275.46548017715537,0.7693230769230769,2.6140379905700684,7 16 2 1 9 4 8 15 5 27,100,200,0.8,0.05,3,2,1005
6,66,287.1473594874347,0.7576666666666667,2.5091171264648438,9 11 1 13 6 7 8 3 16 2,100,200,0.8,0.05,3,2,1006
7,64,275.0133519485918,0.78134375,2.6792118549346924,3 1 5 9 2 4 6 13 26 7,100,200,0.8,0.05,3,2,1007
8,65,277.63717330357616,0.7693230769230769,2.696089267730713,2 1 7 16 14 4 12 5 8 9,100,200,0.8,0.05,3,2,1008
9,66,284.6308614200633,0.7576666666666667,2.4148271083831787,8 6 2 9 15 1 13 5 17 3,100,200,0.8,0.05,3,2,1009
10,65,277.11982967662203,0.7693230769230769,2.475973129272461,1 2 3 4 5 6 10 24 38 44,100,200,0.8,0.05,3,2,1010
