run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,14,35.0255009141299,0.9699285714285715,2.0923209190368652,5 10 20 27 37 22 3 12 30 39,100,200,0.8,0.05,3,2,1001
2,14,29.872347461442377,0.9699285714285715,2.084019899368286,5 10 19 28 38 3 8 17 29 40,100,200,0.8,0.05,3,2,1002
3,14,31.594529363709245,0.9699285714285715,2.0687241554260254,5 4 1 11 23 33 10 19 28 3,100,200,0.8,0.05,3,2,1003
4,14,34.559472548885104,0.9699285714285715,2.1409289836883545,3 2 8 17 29 40 49 5 12 10,100,200,0.8,0.05,3,2,1004
5,14,34.03464621319198,0.9699285714285715,2.09157395362854,5 10 3 8 2 7 9 13 14 16,100,200,0.8,0.05,3,2,1005
6,14,36.952672433803755,0.9699285714285715,2.067991018295288,3 5 2 10 19 28 38 42 8 17,100,200,0.8,0.05,3,2,1006
7,14,32.090274450146325,0.9699285714285715,2.066879987716675,5 10 20 27 3 2 22 32 19 28,100,200,0.8,0.05,3,2,1007
8,14,35.18420912040757,0.9699285714285715,2.0976712703704834,5 10 22 32 35 19 28 38 3 8,100,200,0.8,0.05,3,2,1008
9,14,35.51357889194337,0.9699285714285715,2.1036269664764404,5 10 19 28 38 42 3 8 17 29,100,200,0.8,0.05,3,2,1009
10,14,37.524277855428856,0.9699285714285715,2.094918966293335,5 10 3 8 17 29 40 20 27 37,100,200,0.8,0.05,3,2,1010
