run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,26,98.31288357546572,0.9018846153846154,2.206987142562866,1 2 7 8 9 10 11 12 20 28,100,200,0.8,0.05,3,2,1001
2,26,97.85055323926774,0.9018846153846154,2.169887065887451,6 16 23 33 36 1 2 7 9 8,100,200,0.8,0.05,3,2,1002
3,26,95.94970637707108,0.9018846153846154,2.207603931427002,6 1 2 7 9 8 10 11 12 20,100,200,0.8,0.05,3,2,1003
4,26,108.55856271368712,0.9018846153846154,2.224055051803589,6 16 23 34 40 43 48 54 56 7,100,200,0.8,0.05,3,2,1004
5,26,105.2350848192896,0.9018846153846154,2.1923530101776123,6 16 23 34 1 2 7 9 14 8,100,200,0.8,0.05,3,2,1005
6,26,109.8535738713479,0.9018846153846154,2.175389289855957,6 7 8 1 2 9 10 11 12 20,100,200,0.8,0.05,3,2,1006
7,26,111.23070273431357,0.9018846153846154,2.197298288345337,6 1 2 7 8 3 4 5 9 10,100,200,0.8,0.05,3,2,1007
8,26,105.5008202665888,0.9018846153846154,2.206460952758789,6 16 23 34 33 7 9 8 10 11,100,200,0.8,0.05,3,2,1008
9,26,106.49539535007713,0.9018846153846154,2.1679818630218506,6 16 1 3 4 5 13 14 7 8,100,200,0.8,0.05,3,2,1009
10,26,104.42977029121975,0.9018846153846154,2.196913242340088,6 16 23 33 36 46 49 55 34 40,100,200,0.8,0.05,3,2,1010
