run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,15,34.73039015041438,0.9285333333333333,1.857374906539917,9 10 1 2 3 4 5 8 6 7,100,200,0.8,0.05,3,2,1001
2,15,35.83666651164233,0.9285333333333333,1.8519330024719238,6 7 4 8 5 2 1 3 10 9,100,200,0.8,0.05,3,2,1002
3,15,45.047382461877476,0.9285333333333333,1.9208979606628418,9 18 21 22 19 23 27 6 7 40,100,200,0.8,0.05,3,2,1003
4,15,38.33623177448022,0.9285333333333333,1.8909759521484375,9 18 19 21 22 23 27 6 7 40,100,200,0.8,0.05,3,2,1004
5,15,29.71643765101508,0.9285333333333333,1.83846116065979,9 18 22 19 23 27 21 6 7 40,100,200,0.8,0.05,3,2,1005
6,15,35.106504620464094,0.9285333333333333,1.8533060550689697,9 18 21 22 19 23 27 6 7 40,100,200,0.8,0.05,3,2,1006
7,15,46.61258771333483,0.9285333333333333,1.9089341163635254,9 18 19 21 22 23 27 6 7 40,100,200,0.8,0.05,3,2,1007
8,15,44.72285023713642,0.9285333333333333,2.014000177383423,9 18 19 6 7 21 22 23 27 40,100,200,0.8,0.05,3,2,1008
9,15,41.677331968349414,0.9285333333333333,1.902226209640503,9 18 21 22 19 23 27 6 7 40,100,200,0.8,0.05,3,2,1009
10,15,44.68258422845901,0.9285333333333333,1.952491044998169,9 18 21 22 5 19 23 27 6 7,100,200,0.8,0.05,3,2,1010
