run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,62,236.44538345004477,0.817,2.4737000465393066,5 3 6 2 16 24 15 17 28 37,100,200,0.8,0.05,3,2,1001
2,64,255.89780675105445,0.79146875,2.4974050521850586,4 14 7 11 5 15 6 16 2 12,100,200,0.8,0.05,3,2,1002
3,65,268.32250973552186,0.7792923076923077,2.486726760864258,6 16 5 15 2 12 4 23 3 13,100,200,0.8,0.05,3,2,1003
4,64,260.9380314365846,0.79146875,2.4753053188323975,8 9 10 6 16 2 12 5 15 24,100,200,0.8,0.05,3,2,1004
5,64,256.2698772778416,0.79146875,2.438606023788452,6 16 5 15 4 14 3 13 2 12,100,200,0.8,0.05,3,2,1005
6,64,259.4088230959001,0.79146875,2.4526898860931396,2 6 16 24 27 5 23 34 33 15,100,200,0.8,0.05,3,2,1006
7,65,268.030623967888,0.7792923076923077,2.4328231811523438,6 16 23 24 1 8 7 10 11 4,100,200,0.8,0.05,3,2,1007
8,65,275.0859725752884,0.7792923076923077,2.4767842292785645,7 11 2 12 3 13 6 16 5 15,100,200,0.8,0.05,3,2,1008
9,65,268.7812092791058,0.7792923076923077,2.478010892868042,3 4 2 6 5 16 24 31 45 52,100,200,0.8,0.05,3,2,1009
10,64,259.0924062955146,0.79146875,2.452824115753174,6 16 23 24 8 7 31 45 52 58,100,200,0.8,0.05,3,2,1010
