run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,260,192.76752639064816,0.85095,0.5134053230285645,4 16 17 6 9 10 18 23 21 34,100,200,0.8,0.05,3,2,1001,0.5
2,259,190.1739094358525,0.8542355212355213,0.5005419254302979,21 8 11 12 15 10 30 9 3 17,100,200,0.8,0.05,3,2,1002,0.5
3,259,195.80951661082972,0.8542355212355213,0.5178718566894531,9 16 10 19 3 8 5 11 38 43,100,200,0.8,0.05,3,2,1003,0.5
4,259,193.94467427474433,0.8542355212355213,0.5133402347564697,20 1 15 18 4 14 5 13 7 12,100,200,0.8,0.05,3,2,1004,0.5
5,260,192.6982994615796,0.85095,0.5101888179779053,7 18 4 8 21 15 6 13 17 20,100,200,0.8,0.05,3,2,1005,0.5
6,258,187.03845519285662,0.857546511627907,0.5101902484893799,12 4 20 16 41 13 1 43 2 42,100,200,0.8,0.05,3,2,1006,0.5
7,259,193.69172059094996,0.8542355212355213,0.5097830295562744,13 7 2 11 28 20 4 8 16 18,100,200,0.8,0.05,3,2,1007,0.5
8,260,191.24739314462664,0.85095,0.5198020935058594,5 11 3 14 2 7 13 6 10 28,100,200,0.8,0.05,3,2,1008,0.5
9,258,193.57074103010953,0.857546511627907,0.5036380290985107,8 7 5 11 13 18 2 20 38 28,100,200,0.8,0.05,3,2,1009,0.5
10,260,193.17641399269456,0.85095,0.5159189701080322,20 13 9 8 26 18 6 42 35 16,100,200,0.8,0.05,3,2,1010,0.5
