run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,266,192.5977927558779,0.851421052631579,0.5070700645446777,15 9 14 16 6 35 3 67 18 78,100,200,0.8,0.05,3,2,1001,0.5
2,266,191.77898855486703,0.851421052631579,0.5115439891815186,21 40 57 69 17 31 65 79 74 16,100,200,0.8,0.05,3,2,1002,0.5
3,265,190.10964065953655,0.8546339622641509,0.5030629634857178,21 27 19 36 30 16 35 18 25 67,100,200,0.8,0.05,3,2,1003,0.5
4,267,196.35668454509786,0.8482322097378278,0.5072667598724365,21 38 66 16 35 67 42 54 58 20,100,200,0.8,0.05,3,2,1004,0.5
5,267,195.23614818483907,0.8482322097378278,0.5128529071807861,1 9 2 15 16 10 11 12 7 18,100,200,0.8,0.05,3,2,1005,0.5
6,265,191.56855022148667,0.8546339622641509,0.518869161605835,21 40 57 69 2 3 4 5 6 24,100,200,0.8,0.05,3,2,1006,0.5
7,265,187.34726105928289,0.8546339622641509,0.5194590091705322,20 33 61 76 17 31 65 21 38 66,100,200,0.8,0.05,3,2,1007,0.5
8,265,188.97745697644208,0.8546339622641509,0.5118370056152344,13 21 4 8 19 26 10 6 42 30,100,200,0.8,0.05,3,2,1008,0.5
9,267,196.69143499209858,0.8482322097378278,0.5015530586242676,16 4 15 18 25 21 11 42 54 38,100,200,0.8,0.05,3,2,1009,0.5
10,264,188.8371512625884,0.8578712121212121,0.513192892074585,4 1 18 11 3 7 25 9 14 15,100,200,0.8,0.05,3,2,1010,0.5
