run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,267,195.67044066060313,0.8518801498127341,0.7400381565093994,11 13 9 18 2 16 34 31 6 12,100,200,0.8,0.05,3,2,1001
2,267,195.23282940607766,0.8518801498127341,0.7994811534881592,2 17 12 8 16 5 26 7 32 13,100,200,0.8,0.05,3,2,1002
3,266,188.5420915889921,0.8550827067669173,0.6916918754577637,9 7 1 18 6 11 27 34 10 17,100,200,0.8,0.05,3,2,1003
4,266,194.92961907051847,0.8550827067669173,0.7995598316192627,14 1 9 7 8 17 6 2 10 11,100,200,0.8,0.05,3,2,1004
5,267,188.70757950277925,0.8518801498127341,0.7170078754425049,2 15 13 24 11 31 35 7 9 25,100,200,0.8,0.05,3,2,1005
6,268,193.84079480682925,0.8487014925373134,0.6426680088043213,14 11 15 18 4 6 19 2 1 9,100,200,0.8,0.05,3,2,1006
7,268,199.16654697221574,0.8487014925373134,0.666572093963623,14 11 2 3 8 13 6 5 4 19,100,200,0.8,0.05,3,2,1007
8,267,196.21014111318362,0.8518801498127341,0.7650110721588135,7 11 2 15 13 4 8 19 6 18,100,200,0.8,0.05,3,2,1008
9,266,193.241482805043,0.8550827067669173,0.8150629997253418,18 15 24 10 1 13 4 9 7 27,100,200,0.8,0.05,3,2,1009
10,267,196.69450066476261,0.8518801498127341,0.7875270843505859,15 35 44 72 90 96 103 84 113 107,100,200,0.8,0.05,3,2,1010
