run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,686,327.2684434998082,0.7235845481049563,0.516942024230957,10 15 1 6 37 12 4 26 11 55,100,200,0.8,0.05,3,2,1001,0.5
2,685,325.82387208496243,0.7246408759124088,0.5072572231292725,12 29 2 6 3 1 5 16 18 8,100,200,0.8,0.05,3,2,1002,0.5
3,687,328.089700430209,0.7225312954876274,0.5153419971466064,8 25 16 3 5 4 14 10 13 35,100,200,0.8,0.05,3,2,1003,0.5
4,686,328.4568189643781,0.7235845481049563,0.5157392024993896,14 12 15 13 3 26 55 4 36 35,100,200,0.8,0.05,3,2,1004,0.5
5,683,325.25934465966293,0.7267628111273792,0.5090210437774658,4 2 6 19 17 5 30 50 13 9,100,200,0.8,0.05,3,2,1005,0.5
6,684,325.7036848899275,0.7257002923976609,0.5101950168609619,17 16 1 20 5 4 39 21 11 7,100,200,0.8,0.05,3,2,1006,0.5
7,687,325.93269815461355,0.7225312954876274,0.5161032676696777,1 16 13 4 12 20 5 14 35 17,100,200,0.8,0.05,3,2,1007,0.5
8,683,324.1129645089982,0.7267628111273792,0.5163547992706299,10 3 19 4 9 5 37 7 20 6,100,200,0.8,0.05,3,2,1008,0.5
9,686,327.1687072043427,0.7235845481049563,0.5209829807281494,11 2 18 13 17 14 35 12 7 6,100,200,0.8,0.05,3,2,1009,0.5
10,683,325.89391199297495,0.7267628111273792,0.5021548271179199,1 5 3 13 6 10 20 22 4 37,100,200,0.8,0.05,3,2,1010,0.5
