run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,260,186.86730174521827,0.8562115384615384,0.5143029689788818,19 10 17 13 8 3 30 9 40 22,100,200,0.8,0.05,3,2,1001,0.5
2,263,198.98353868901197,0.8464448669201521,0.5124149322509766,18 4 13 3 10 14 16 1 8 24,100,200,0.8,0.05,3,2,1002,0.5
3,263,200.43656724882885,0.8464448669201521,0.5007879734039307,3 15 20 4 6 33 2 14 26 17,100,200,0.8,0.05,3,2,1003,0.5
4,262,200.1741322102006,0.849675572519084,0.5044901371002197,7 18 24 10 9 15 12 40 5 20,100,200,0.8,0.05,3,2,1004,0.5
5,263,200.67578793446376,0.8464448669201521,0.5117380619049072,5 17 12 27 20 19 21 9 37 4,100,200,0.8,0.05,3,2,1005,0.5
6,263,203.70956175724987,0.8464448669201521,0.5113251209259033,17 11 19 12 15 8 39 18 33 24,100,200,0.8,0.05,3,2,1006,0.5
7,263,199.60746650466422,0.8464448669201521,0.5118181705474854,4 7 18 2 17 13 8 22 39 30,100,200,0.8,0.05,3,2,1007,0.5
8,261,198.78305045809435,0.8529310344827586,0.5032398700714111,9 11 13 5 6 17 21 12 4 35,100,200,0.8,0.05,3,2,1008,0.5
9,262,198.60233964628188,0.849675572519084,0.5252008438110352,2 9 4 7 3 19 12 27 15 13,100,200,0.8,0.05,3,2,1009,0.5
10,262,200.43777470007385,0.849675572519084,0.5056290626525879,4 14 8 22 7 38 18 15 17 16,100,200,0.8,0.05,3,2,1010,0.5
