run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,148,93.63215115402257,0.9234932432432432,0.7794151306152344,6 2 16 8 15 20 13 17 44 46,100,200,0.8,0.05,3,2,1001
2,148,94.3420673701593,0.9234932432432432,0.620398998260498,20 22 1 7 21 2 17 6 14 28,100,200,0.8,0.05,3,2,1002
3,148,96.8290148050062,0.9234932432432432,0.7481789588928223,9 20 15 18 3 19 30 6 10 13,100,200,0.8,0.05,3,2,1003
4,148,98.99191203653281,0.9234932432432432,0.6808807849884033,10 20 22 9 8 12 6 11 1 21,100,200,0.8,0.05,3,2,1004
5,148,92.16146964152908,0.9234932432432432,0.6043548583984375,17 3 6 9 22 14 19 29 36 2,100,200,0.8,0.05,3,2,1005
6,148,98.49279710253477,0.9234932432432432,0.6979000568389893,10 14 20 26 9 8 17 6 19 1,100,200,0.8,0.05,3,2,1006
7,149,101.0121263236723,0.9172953020134228,0.7315690517425537,21 10 11 14 5 2 40 35 42 9,100,200,0.8,0.05,3,2,1007
8,148,101.4324765412799,0.9234932432432432,0.6871929168701172,13 27 22 31 16 32 21 35 42 14,100,200,0.8,0.05,3,2,1008
9,148,95.81446739486768,0.9234932432432432,0.7529659271240234,18 34 68 59 21 42 55 53 17 28,100,200,0.8,0.05,3,2,1009
10,148,96.28487434185614,0.9234932432432432,0.7412862777709961,20 17 15 18 5 14 16 21 3 19,100,200,0.8,0.05,3,2,1010
