run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,142,98.60470234194544,0.9211549295774648,0.5056800842285156,6 3 17 9 1 23 7 4 14 8,100,200,0.8,0.05,3,2,1001,0.5
2,141,94.8895587975533,0.9276879432624113,0.514197826385498,1 14 20 10 18 5 9 23 15 27,100,200,0.8,0.05,3,2,1002,0.5
3,141,94.86332086423114,0.9276879432624113,0.5147309303283691,19 20 23 34 58 64 61 27 1 25,100,200,0.8,0.05,3,2,1003,0.5
4,142,98.07808042144244,0.9211549295774648,0.5100061893463135,21 1 7 18 17 9 10 2 8 5,100,200,0.8,0.05,3,2,1004,0.5
5,142,100.60150084283528,0.9211549295774648,0.5152270793914795,4 20 7 6 15 1 23 9 13 29,100,200,0.8,0.05,3,2,1005,0.5
6,142,96.04884320849544,0.9211549295774648,0.5106608867645264,8 2 1 12 11 7 22 19 6 4,100,200,0.8,0.05,3,2,1006,0.5
7,141,95.66237912649802,0.9276879432624113,0.5217230319976807,8 7 16 36 4 23 11 22 5 26,100,200,0.8,0.05,3,2,1007,0.5
8,141,96.03862993460659,0.9276879432624113,0.5192148685455322,17 21 1 18 19 13 30 5 16 22,100,200,0.8,0.05,3,2,1008,0.5
9,141,92.41557389245786,0.9276879432624113,0.5106699466705322,23 34 11 14 9 17 15 50 65 3,100,200,0.8,0.05,3,2,1009,0.5
10,141,95.36625925480836,0.9276879432624113,0.5045697689056396,14 23 22 9 4 3 21 5 11 7,100,200,0.8,0.05,3,2,1010,0.5
