run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,670,319.9747914511065,0.7331149253731343,0.6980199813842773,19 18 5 11 15 2 17 1 6 8,100,200,0.8,0.05,3,2,1001
2,672,319.6872751128009,0.7309330357142857,0.7247440814971924,23 13 20 33 14 21 12 1 42 8,100,200,0.8,0.05,3,2,1002
3,671,320.496678165859,0.7320223546944858,0.7200989723205566,6 17 16 12 14 4 19 23 15 21,100,200,0.8,0.05,3,2,1003
4,670,318.83938079583055,0.7331149253731343,0.7744851112365723,17 35 22 27 40 13 33 19 31 43,100,200,0.8,0.05,3,2,1004
5,666,316.8496413051389,0.737518018018018,0.765300989151001,12 42 64 95 121 5 6 7 16 30,100,200,0.8,0.05,3,2,1005
6,670,317.346627663746,0.7331149253731343,0.6990571022033691,22 43 65 72 90 94 18 41 63 92,100,200,0.8,0.05,3,2,1006
7,670,320.1863613118917,0.7331149253731343,0.7347128391265869,1 21 13 3 22 18 17 41 63 23,100,200,0.8,0.05,3,2,1007
8,668,317.1432245063725,0.7353098802395209,0.7660951614379883,2 10 17 12 23 9 19 1 3 6,100,200,0.8,0.05,3,2,1008
9,669,318.4139083651321,0.7342107623318386,0.7075841426849365,22 6 26 1 8 17 9 16 43 14,100,200,0.8,0.05,3,2,1009
10,664,313.13155699793623,0.7397394578313253,0.7448828220367432,2 22 40 49 26 5 6 23 8 21,100,200,0.8,0.05,3,2,1010
