run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,701,330.4147849292724,0.71851212553495,0.5182919502258301,18 8 3 4 10 5 11 39 7 33,100,200,0.8,0.05,3,2,1001,0.5
2,698,328.69627640170165,0.7216002865329513,0.5097000598907471,7 2 11 19 13 18 6 40 22 4,100,200,0.8,0.05,3,2,1002,0.5
3,698,327.9301436024059,0.7216002865329513,0.5160930156707764,14 7 12 11 8 17 20 6 19 10,100,200,0.8,0.05,3,2,1003,0.5
4,699,331.0199761443119,0.7205679542203147,0.5113108158111572,15 1 9 10 42 2 19 12 13 3,100,200,0.8,0.05,3,2,1004,0.5
5,699,328.97915758149924,0.7205679542203147,0.5049989223480225,17 25 19 31 12 21 38 11 22 15,100,200,0.8,0.05,3,2,1005,0.5
6,696,328.599800704426,0.7236738505747127,0.5098810195922852,10 7 3 6 1 15 17 9 33 16,100,200,0.8,0.05,3,2,1006,0.5
7,701,331.55131627090555,0.71851212553495,0.5203261375427246,20 3 13 9 18 8 17 11 16 19,100,200,0.8,0.05,3,2,1007,0.5
8,700,331.0713798736287,0.7195385714285715,0.5050349235534668,7 6 9 19 14 11 20 4 39 22,100,200,0.8,0.05,3,2,1008,0.5
9,692,325.2888822822203,0.727856936416185,0.5032551288604736,6 8 19 5 2 1 15 17 13 18,100,200,0.8,0.05,3,2,1009,0.5
10,699,330.92594981843473,0.7205679542203147,0.5093319416046143,16 2 5 11 7 8 15 10 42 43,100,200,0.8,0.05,3,2,1010,0.5
