run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,147,95.55687126658398,0.9235102040816326,0.7800500392913818,22 49 69 24 38 53 67 14 39 57,100,200,0.8,0.05,3,2,1001
2,147,96.68407068286649,0.9235102040816326,0.6511938571929932,14 40 68 82 106 22 49 69 78 104,100,200,0.8,0.05,3,2,1002
3,147,96.75356169506253,0.9235102040816326,0.7019550800323486,13 43 63 79 95 14 40 68 82 106,100,200,0.8,0.05,3,2,1003
4,147,95.25147525059634,0.9235102040816326,0.6774351596832275,8 19 20 10 42 2 14 3 16 12,100,200,0.8,0.05,3,2,1004
5,146,90.94646927711159,0.9298356164383562,0.7560501098632812,12 4 24 25 38 32 7 13 15 23,100,200,0.8,0.05,3,2,1005
6,147,94.84154346775962,0.9235102040816326,0.6393043994903564,19 42 65 76 107 114 136 154 178 205,100,200,0.8,0.05,3,2,1006
7,147,93.97137355396615,0.9235102040816326,0.7282397747039795,5 10 18 3 12 20 14 16 9 6,100,200,0.8,0.05,3,2,1007
8,147,96.25426927540147,0.9235102040816326,0.700767993927002,14 40 68 82 103 106 13 43 63 79,100,200,0.8,0.05,3,2,1008
9,147,95.48401582941285,0.9235102040816326,0.7275190353393555,1 17 15 3 25 24 28 7 9 6,100,200,0.8,0.05,3,2,1009
10,146,90.55029632410687,0.9298356164383562,0.7793920040130615,24 38 13 46 66 85 92 14 40 68,100,200,0.8,0.05,3,2,1010
