run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,144,97.02079530813084,0.9245486111111111,0.5089190006256104,1 6 22 14 2 27 13 28 4 44,100,200,0.8,0.05,3,2,1001,0.5
2,144,107.52393144474087,0.9245486111111111,0.511481761932373,19 21 16 13 17 2 9 24 1 23,100,200,0.8,0.05,3,2,1002,0.5
3,144,98.89792015563881,0.9245486111111111,0.5171570777893066,22 7 13 24 10 8 2 9 20 27,100,200,0.8,0.05,3,2,1003,0.5
4,144,96.87782253952656,0.9245486111111111,0.5110347270965576,14 1 10 13 16 26 20 11 32 5,100,200,0.8,0.05,3,2,1004,0.5
5,144,91.89996826259879,0.9245486111111111,0.500391960144043,10 13 21 6 5 20 22 18 27 3,100,200,0.8,0.05,3,2,1005,0.5
6,144,98.63467245908566,0.9245486111111111,0.5131380558013916,14 5 17 4 28 20 13 7 53 11,100,200,0.8,0.05,3,2,1006,0.5
7,144,96.93035157037014,0.9245486111111111,0.503572940826416,9 16 1 18 12 23 8 21 14 20,100,200,0.8,0.05,3,2,1007,0.5
8,144,94.3155533892004,0.9245486111111111,0.5117387771606445,15 6 16 20 21 9 11 5 7 10,100,200,0.8,0.05,3,2,1008,0.5
9,144,106.61714345159402,0.9245486111111111,0.5206301212310791,11 5 3 14 20 6 18 16 2 32,100,200,0.8,0.05,3,2,1009,0.5
10,144,105.16306782009231,0.9245486111111111,0.5124988555908203,18 2 4 8 7 16 12 3 21 13,100,200,0.8,0.05,3,2,1010,0.5
