run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,265,190.27862390973175,0.8530150943396226,0.7569458484649658,15 27 20 16 18 14 9 4 26 11,100,200,0.8,0.05,3,2,1001
2,265,187.91452292073728,0.8530150943396226,0.7252836227416992,10 14 17 26 8 1 23 15 19 2,100,200,0.8,0.05,3,2,1002
3,266,195.72298015921896,0.8498082706766917,0.665884256362915,20 7 24 1 2 18 13 19 23 22,100,200,0.8,0.05,3,2,1003
4,267,198.74051928957678,0.846625468164794,0.7195990085601807,24 15 6 13 2 11 7 8 18 5,100,200,0.8,0.05,3,2,1004
5,267,202.06865559268144,0.846625468164794,0.6752851009368896,8 23 20 6 12 9 25 5 3 14,100,200,0.8,0.05,3,2,1005
6,266,197.74061197452625,0.8498082706766917,0.7427661418914795,20 46 68 22 47 65 78 16 43 58,100,200,0.8,0.05,3,2,1006
7,265,194.80427526206236,0.8530150943396226,0.6798253059387207,3 17 25 1 20 27 8 2 13 23,100,200,0.8,0.05,3,2,1007
8,266,194.4747214761679,0.8498082706766917,0.6400818824768066,20 45 69 46 68 17 40 63 16 43,100,200,0.8,0.05,3,2,1008
9,266,195.5484383198273,0.8498082706766917,0.6141128540039062,3 4 20 16 18 2 25 6 5 7,100,200,0.8,0.05,3,2,1009
10,265,197.94278761756217,0.8530150943396226,0.6784861087799072,8 19 12 11 16 38 22 26 21 13,100,200,0.8,0.05,3,2,1010
