run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,269,198.05545391450045,0.8528773234200744,0.5130980014801025,21 24 22 9 27 17 13 20 38 23,100,200,0.8,0.05,3,2,1001,0.5
2,271,200.6690653806361,0.8465830258302584,0.510242223739624,18 15 11 14 8 24 31 1 33 63,100,200,0.8,0.05,3,2,1002,0.5
3,269,196.0806298003442,0.8528773234200744,0.5126950740814209,20 19 12 4 15 2 17 24 11 1,100,200,0.8,0.05,3,2,1003,0.5
4,272,207.4330508579462,0.8434705882352941,0.5098838806152344,6 24 2 14 16 21 39 13 5 25,100,200,0.8,0.05,3,2,1004,0.5
5,272,210.1000986924762,0.8434705882352941,0.5087778568267822,15 14 10 33 20 12 21 17 19 7,100,200,0.8,0.05,3,2,1005,0.5
6,272,201.05195772705707,0.8434705882352941,0.5020511150360107,11 2 19 13 24 37 43 1 44 16,100,200,0.8,0.05,3,2,1006,0.5
7,271,203.48950307025322,0.8465830258302584,0.5224118232727051,19 30 16 43 20 11 14 39 25 65,100,200,0.8,0.05,3,2,1007,0.5
8,271,199.5407272839769,0.8465830258302584,0.5079989433288574,21 12 3 18 19 10 6 23 29 14,100,200,0.8,0.05,3,2,1008,0.5
9,270,198.3735160041578,0.8497185185185185,0.5128383636474609,2 5 1 25 24 23 10 22 18 26,100,200,0.8,0.05,3,2,1009,0.5
10,269,191.73631405238302,0.8528773234200744,0.5149025917053223,4 15 18 6 11 2 31 17 12 13,100,200,0.8,0.05,3,2,1010,0.5
