run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,11,63.1052511861947,0.9047272727272727,0.6784508228302002,4 9 15 20 2 8 14 17 18 25,100,200,0.8,0.05,3,2,1001
2,11,70.82885903872285,0.9047272727272727,0.6916077136993408,4 9 15 20 2 8 14 17 18 6,100,200,0.8,0.05,3,2,1002
3,11,41.0,0.9047272727272727,0.8051431179046631,2 8 4 9 14 17 18 30 36 6,100,200,0.8,0.05,3,2,1003
4,11,41.410363217655814,0.9047272727272727,0.705794095993042,4 9 15 20 1 25 31 42 45 2,100,200,0.8,0.05,3,2,1004
5,11,42.00216444639274,0.9047272727272727,0.6830790042877197,2 8 14 17 18 4 9 15 6 7,100,200,0.8,0.05,3,2,1005
6,11,53.18663536846622,0.9047272727272727,0.6918349266052246,2 8 14 17 18 4 9 15 20 6,100,200,0.8,0.05,3,2,1006
7,11,66.73420821029156,0.9047272727272727,0.6793348789215088,2 3 6 4 8 7 9 15 20 25,100,200,0.8,0.05,3,2,1007
8,11,56.48088976893786,0.9047272727272727,0.6890878677368164,4 9 15 2 8 14 17 18 30 37,100,200,0.8,0.05,3,2,1008
9,11,31.91323464418086,0.9047272727272727,0.7053732872009277,2 8 14 17 18 4 9 15 20 6,100,200,0.8,0.05,3,2,1009
10,11,51.726553757585314,0.9047272727272727,0.6853179931640625,2 8 6 7 16 4 9 12 15 3,100,200,0.8,0.05,3,2,1010
