run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,29,206.39700612637537,0.8271724137931035,0.8505010604858398,6 1 2 3 7 8 5 4 12 15,100,200,0.8,0.05,3,2,1001
2,29,202.36702743555693,0.8271724137931035,0.8394458293914795,8 10 13 4 11 7 9 5 12 14,100,200,0.8,0.05,3,2,1002
3,29,211.18189577577022,0.8271724137931035,0.8523802757263184,1 2 3 7 8 6 5 4 15 20,100,200,0.8,0.05,3,2,1003
4,29,209.1535486109469,0.8271724137931035,0.83642578125,6 15 20 1 2 5 7 8 3 9,100,200,0.8,0.05,3,2,1004
5,29,212.48991862495825,0.8271724137931035,0.8496818542480469,7 8 1 2 3 9 10 16 13 19,100,200,0.8,0.05,3,2,1005
6,29,202.0320049756542,0.8271724137931035,0.840918779373169,7 8 1 2 3 9 10 16 6 15,100,200,0.8,0.05,3,2,1006
7,29,203.3897227254731,0.8271724137931035,0.856248140335083,5 3 6 4 8 15 22 20 12 17,100,200,0.8,0.05,3,2,1007
8,29,214.1196893779513,0.8271724137931035,0.8658039569854736,8 13 19 30 5 12 17 4 7 11,100,200,0.8,0.05,3,2,1008
9,30,226.2044797670167,0.7996,0.8725838661193848,5 6 7 8 1 2 3 4 12 17,100,200,0.8,0.05,3,2,1009
10,29,222.42689616575382,0.8271724137931035,0.8762619495391846,5 1 2 3 7 8 6 4 12 15,100,200,0.8,0.05,3,2,1010
