run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,11,33.36574182110638,0.9330909090909091,0.7188491821289062,2 8 18 3 9 16 15 17 5 4,100,200,0.8,0.05,3,2,1001
2,11,42.8506921552245,0.9330909090909091,0.719728946685791,3 9 16 21 26 2 8 18 24 25,100,200,0.8,0.05,3,2,1002
3,11,31.799085178379237,0.9330909090909091,0.7165420055389404,3 9 16 21 26 2 8 18 23 33,100,200,0.8,0.05,3,2,1003
4,11,33.95719230282311,0.9330909090909091,0.7115299701690674,2 8 18 3 9 16 4 12 14 5,100,200,0.8,0.05,3,2,1004
5,11,53.225933528685054,0.9330909090909091,0.7368781566619873,2 8 18 24 1 5 3 4 6 7,100,200,0.8,0.05,3,2,1005
6,11,42.07568937478786,0.9330909090909091,0.8346080780029297,3 9 16 21 26 35 5 4 2 1,100,200,0.8,0.05,3,2,1006
7,11,47.86913980274291,0.9330909090909091,0.711334228515625,2 3 9 16 21 26 4 5 1 12,100,200,0.8,0.05,3,2,1007
8,11,30.669795624300527,0.9330909090909091,0.7226481437683105,3 9 16 21 26 2 8 18 23 32,100,200,0.8,0.05,3,2,1008
9,11,33.25111071282227,0.9330909090909091,0.7208859920501709,3 9 16 2 8 18 17 15 21 26,100,200,0.8,0.05,3,2,1009
10,11,56.46157180692981,0.9330909090909091,0.7055699825286865,2 8 18 24 1 5 3 4 6 7,100,200,0.8,0.05,3,2,1010
