run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,7,25.357444666211933,0.9091428571428571,0.7140359878540039,4 6 16 22 2 5 1 7 11 3,100,200,0.8,0.05,3,2,1001
2,7,20.677800380394153,0.9091428571428571,0.7100000381469727,4 6 16 22 30 38 41 47 29 37,100,200,0.8,0.05,3,2,1002
3,7,26.48449681282564,0.9091428571428571,0.7056372165679932,4 6 16 22 3 8 17 29 37 42,100,200,0.8,0.05,3,2,1003
4,7,18.345883150489882,0.9091428571428571,0.7161052227020264,4 6 16 22 30 38 41 47 29 37,100,200,0.8,0.05,3,2,1004
5,7,19.881793537951104,0.9091428571428571,0.7063376903533936,4 6 16 22 3 8 17 18 25 2,100,200,0.8,0.05,3,2,1005
6,7,24.7357462563219,0.9091428571428571,0.6950831413269043,3 8 17 4 6 16 22 13 18 9,100,200,0.8,0.05,3,2,1006
7,7,17.703914014380306,0.9091428571428571,0.7743568420410156,1 7 3 8 17 23 4 6 10 9,100,200,0.8,0.05,3,2,1007
8,7,19.51556155628484,0.9091428571428571,0.7113709449768066,4 9 14 21 28 39 2 1 3 5,100,200,0.8,0.05,3,2,1008
9,7,20.85665361461421,0.9091428571428571,0.7087490558624268,3 8 1 7 4 6 9 2 16 22,100,200,0.8,0.05,3,2,1009
10,7,18.89822365046136,0.9091428571428571,0.7190017700195312,4 6 16 22 30 38 41 47 29 2,100,200,0.8,0.05,3,2,1010
