run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,13,60.9463824887215,0.902,0.7783322334289551,4 13 9 7 11 12 15 10 8 14,100,200,0.8,0.05,3,2,1001
2,13,56.8317354463697,0.902,0.7273790836334229,4 13 7 11 9 10 15 12 8 14,100,200,0.8,0.05,3,2,1002
3,13,52.98766184398315,0.902,0.7176589965820312,4 10 12 8 14 13 7 15 11 9,100,200,0.8,0.05,3,2,1003
4,13,58.9158461118647,0.902,0.7213239669799805,4 13 20 21 28 9 16 25 30 27,100,200,0.8,0.05,3,2,1004
5,13,59.92687852066691,0.902,0.7355861663818359,4 13 7 9 11 16 25 20 21 27,100,200,0.8,0.05,3,2,1005
6,13,61.069317488093304,0.902,0.7260539531707764,7 4 8 9 16 13 20 11 18 17,100,200,0.8,0.05,3,2,1006
7,13,64.99053185479582,0.902,0.719433069229126,4 13 9 7 11 12 8 14 10 15,100,200,0.8,0.05,3,2,1007
8,13,58.03977416061665,0.902,0.724571943283081,4 13 7 11 9 20 21 28 18 22,100,200,0.8,0.05,3,2,1008
9,13,51.312016886135716,0.902,0.7397758960723877,4 13 7 11 15 10 12 9 8 14,100,200,0.8,0.05,3,2,1009
10,13,69.81899675369381,0.902,0.724545955657959,7 11 18 22 17 23 31 4 13 20,100,200,0.8,0.05,3,2,1010
