run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,28,153.13054654677586,0.8771785714285715,0.8326170444488525,5 11 6 7 8 4 10 15 12 14,100,200,0.8,0.05,3,2,1001
2,29,196.65907836519594,0.8469310344827586,0.838184118270874,5 1 2 6 7 8 11 16 23 30,100,200,0.8,0.05,3,2,1002
3,28,157.1176765539584,0.8771785714285715,0.8305490016937256,5 6 1 2 4 3 15 10 11 9,100,200,0.8,0.05,3,2,1003
4,29,181.05552587058995,0.8469310344827586,0.8350629806518555,5 6 1 2 7 8 11 16 23 30,100,200,0.8,0.05,3,2,1004
5,28,169.56867551020653,0.8771785714285715,0.8427350521087646,5 11 6 7 8 1 2 16 23 30,100,200,0.8,0.05,3,2,1005
6,28,157.1644952634932,0.8771785714285715,0.8545520305633545,5 1 2 6 4 3 8 14 12 15,100,200,0.8,0.05,3,2,1006
7,28,167.08883437090753,0.8771785714285715,0.8412649631500244,5 4 3 1 2 6 15 21 7 8,100,200,0.8,0.05,3,2,1007
8,28,157.32666198527372,0.8771785714285715,0.8424649238586426,5 15 11 6 7 8 3 9 4 10,100,200,0.8,0.05,3,2,1008
9,28,151.48891991542766,0.8771785714285715,0.8308432102203369,4 10 5 11 15 14 3 9 6 7,100,200,0.8,0.05,3,2,1009
10,29,190.64617886871318,0.8469310344827586,0.8416388034820557,5 6 4 3 1 2 11 7 8 18,100,200,0.8,0.05,3,2,1010
