run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,12,50.547007824400445,0.9345,0.7242321968078613,6 2 7 4 12 16 9 18 20 25,100,200,0.8,0.05,3,2,1001
2,12,39.86435333310534,0.9345,0.7239758968353271,1 3 8 5 13 14 2 9 18 19,100,200,0.8,0.05,3,2,1002
3,12,64.10668191902204,0.9345,0.7230558395385742,5 13 19 24 3 11 17 22 7 12,100,200,0.8,0.05,3,2,1003
4,12,67.0323305079969,0.9345,0.7105920314788818,5 3 2 7 4 6 1 13 19 14,100,200,0.8,0.05,3,2,1004
5,12,63.968742366877905,0.9345,0.7281808853149414,5 3 7 2 1 8 13 9 14 18,100,200,0.8,0.05,3,2,1005
6,12,59.57208518537297,0.9345,0.7234530448913574,5 13 19 24 7 12 16 3 8 11,100,200,0.8,0.05,3,2,1006
7,12,66.52568426304735,0.9345,0.7287049293518066,7 12 5 13 3 11 10 2 9 8,100,200,0.8,0.05,3,2,1007
8,12,50.50742519669756,0.9345,0.7237482070922852,5 3 7 2 11 17 22 30 38 1,100,200,0.8,0.05,3,2,1008
9,12,58.74521257089806,0.9345,0.7270588874816895,5 13 19 24 7 12 16 21 3 11,100,200,0.8,0.05,3,2,1009
10,12,54.37064158777848,0.9345,0.7279500961303711,5 13 19 24 7 12 16 21 3 11,100,200,0.8,0.05,3,2,1010
